velocity_lsr_km_s,frequency_mhz,brightness_temperature_k
-300.0,1421.8271408482103,7.0872489177564e-244
-298.825831702544,1421.8215776815634,1.8815945463317572e-241
-297.6516634050881,1421.816014514917,4.8569450211675095e-239
-296.4774951076321,1421.8104513482704,1.218959348457581e-236
-295.30332681017615,1421.804888181624,2.974433494648625e-234
-294.12915851272015,1421.799325014977,7.056809983709296e-232
-292.95499021526416,1421.7937618483306,1.6278029086305702e-229
-291.7808219178082,1421.788198681684,3.6507708242269214e-227
-290.60665362035223,1421.7826355150376,7.960801526640778e-225
-289.4324853228963,1421.7770723483907,1.687790812378447e-222
-288.2583170254403,1421.771509181744,3.4791260291897004e-220
-287.08414872798437,1421.7659460150976,6.972869715630766e-218
-285.9099804305284,1421.760382848451,1.3587605081166883e-215
-284.7358121330724,1421.754819681804,2.5743310021211448e-213
-283.56164383561645,1421.7492565151576,4.74215884069264e-211
-282.38747553816046,1421.743693348511,8.493333563032915e-209
-281.2133072407045,1421.7381301818646,1.4790088613974516e-206
-280.03913894324853,1421.7325670152177,2.5041135758218345e-204
-278.86497064579254,1421.7270038485713,4.122190546183822e-202
-277.6908023483366,1421.7214406819246,6.597707252872956e-200
-276.5166340508806,1421.7158775152782,1.0267131059381692e-197
-275.3424657534247,1421.7103143486313,1.5534468746134753e-195
-274.1682974559687,1421.7047511819846,2.285257241143541e-193
-272.9941291585127,1421.6991880153382,3.2686267102843666e-191
-271.81996086105676,1421.6936248486916,4.5455585746530585e-189
-270.64579256360076,1421.6880616820447,6.146120267298891e-187
-269.47162426614483,1421.6824985153983,8.079916570800541e-185
-268.29745596868884,1421.6769353487516,1.0327730390965805e-182
-267.1232876712329,1421.6713721821052,1.2834982199895955e-180
-265.9491193737769,1421.6658090154583,1.5508799652589404e-178
-264.7749510763209,1421.6602458488117,1.8220228245539368e-176
-263.600782778865,1421.6546826821652,2.0812408068584814e-174
-262.426614481409,1421.6491195155188,2.3114469307465904e-172
-261.25244618395305,1421.643556348872,2.4959666730043855e-170
-260.07827788649706,1421.6379931822253,2.6205176465805983e-168
-258.9041095890411,1421.6324300155788,2.675032355673073e-166
-257.72994129158513,1421.6268668489322,2.655001872119497e-164
-256.55577299412914,1421.6213036822853,2.5620916810310245e-162
-255.3816046966732,1421.615740515639,2.40391301177528e-160
-254.20743639921722,1421.6101773489922,2.192993204792267e-158
-253.03326810176125,1421.6046141823458,1.945138332490153e-156
-251.8590998043053,1421.599051015699,1.677484765744313e-154
-250.68493150684932,1421.5934878490523,1.406571404719365e-152
-249.51076320939336,1421.5879246824059,1.1467277336033303e-150
-248.33659491193737,1421.5823615157592,9.08980174187261e-149
-247.1624266144814,1421.5767983491126,7.005583332596486e-147
-245.98825831702544,1421.571235182466,5.249648594546554e-145
-244.81409001956948,1421.5656720158195,3.8248327082774674e-143
-243.6399217221135,1421.5601088491728,2.70951267541645e-141
-242.46575342465752,1421.554545682526,1.8662366543048027e-139
-241.29158512720156,1421.5489825158795,1.2497964549327797e-137
-240.1174168297456,1421.5434193492329,8.13784047997628e-136
-238.94324853228963,1421.5378561825864,5.152009294196045e-134
-237.76908023483367,1421.5322930159396,3.17133383475074e-132
-236.59491193737767,1421.526729849293,1.8980402786534233e-130
-235.42074363992174,1421.5211666826465,1.1045040594173578e-128
-234.24657534246575,1421.5156035159998,6.249250468858119e-127
-233.07240704500978,1421.5100403493532,3.437855121078194e-125
-231.89823874755382,1421.5044771827065,1.8388510041750413e-123
-230.72407045009783,1421.49891401606,9.563242261072891e-122
-229.5499021526419,1421.4933508494134,4.8357488925528964e-120
-228.3757338551859,1421.4877876827666,2.377511463117924e-118
-227.20156555772994,1421.4822245161201,1.1365332057291966e-116
-226.02739726027397,1421.4766613494735,5.282537785502012e-115
-224.853228962818,1421.471098182827,2.3872858310802064e-113
-223.67906066536204,1421.4655350161802,1.0489817018961974e-111
-222.50489236790605,1421.4599718495335,4.481603759210438e-110
-221.33072407045012,1421.454408682887,1.8616645363195026e-108
-220.15655577299412,1421.4488455162405,7.519209875562635e-107
-218.98238747553816,1421.4432823495938,2.952882682948192e-105
-217.8082191780822,1421.4377191829471,1.1275187855545308e-103
-216.6340508806262,1421.4321560163007,4.186059525591442e-102
-215.45988258317027,1421.426592849654,1.511093909536586e-100
-214.28571428571428,1421.4210296830072,5.30374194548705e-99
-213.1115459882583,1421.4154665163608,1.810000242003616e-97
-211.93737769080235,1421.409903349714,6.0059353382019526e-96
-210.7632093933464,1421.4043401830677,1.9377105683818942e-94
-209.58904109589042,1421.3987770164208,6.078604356865104e-93
-208.41487279843443,1421.3932138497742,1.8540696637678898e-91
-207.24070450097847,1421.3876506831277,5.498648040002839e-90
-206.0665362035225,1421.382087516481,1.5856013716156386e-88
-204.89236790606654,1421.3765243498344,4.4457071107801545e-87
-203.71819960861058,1421.3709611831878,1.2119842230015056e-85
-202.54403131115458,1421.3653980165413,3.2126463794606683e-84
-201.36986301369865,1421.3598348498947,8.280170733187913e-83
-200.19569471624266,1421.3542716832478,2.0750408564110025e-81
-199.0215264187867,1421.3487085166014,5.056215853101238e-80
-197.84735812133073,1421.3431453499547,1.1979446980971686e-78
-196.67318982387474,1421.3375821833083,2.7596930299940655e-77
-195.4990215264188,1421.3320190166614,6.181562683028995e-76
-194.3248532289628,1421.3264558500148,1.3463250944811807e-74
-193.15068493150685,1421.3208926833684,2.851126285315489e-73
-191.97651663405088,1421.3153295167217,5.870816740080174e-72
-190.80234833659492,1421.309766350075,1.1754302885457595e-70
-189.62818003913895,1421.3042031834284,2.2882963212274423e-69
-188.45401174168296,1421.298640016782,4.331571108124601e-68
-187.27984344422703,1421.2930768501353,7.972549549640733e-67
-186.10567514677103,1421.2875136834884,1.4268174568340032e-65
-184.93150684931507,1421.281950516842,2.482903549755194e-64
-183.7573385518591,1421.2763873501954,4.201190721131119e-63
-182.58317025440311,1421.270824183549,6.912051259398272e-62
-181.40900195694718,1421.265261016902,1.105769038999297e-60
-180.2348336594912,1421.2596978502554,1.7200686140126172e-59
-179.06066536203522,1421.254134683609,2.6016685309092902e-58
-177.88649706457926,1421.2485715169623,3.8263439913209833e-57
-176.71232876712327,1421.2430083503157,5.4719604802854365e-56
-175.53816046966733,1421.237445183669,7.609039894251702e-55
-174.36399217221134,1421.2318820170226,1.0288352747636174e-53
-173.18982387475538,1421.226318850376,1.3526706035875128e-52
-172.0156555772994,1421.220755683729,1.7292972933363755e-51
-170.84148727984345,1421.2151925170826,2.1497101059278794e-50
-169.66731898238748,1421.209629350436,2.598507804168983e-49
-168.4931506849315,1421.2040661837896,3.054241343856504e-48
-167.31898238747553,1421.1985030171427,3.490753884994618e-47
-166.14481409001957,1421.192939850496,3.879475927351051e-46
-164.9706457925636,1421.1873766838496,4.192434597991105e-45
-163.79647749510764,1421.181813517203,4.4055530759983594e-44
-162.62230919765167,1421.176250350556,4.501705116332667e-43
-161.44814090019568,1421.1706871839096,4.4729879410912606e-42
-160.27397260273972,1421.1651240172632,4.3217950244140594e-41
-159.09980430528375,1421.1595608506166,4.060486722259546e-40
-157.9256360078278,1421.1539976839697,3.7097216126304886e-39
-156.75146771037183,1421.1484345173233,3.295761041540932e-38
-155.57729941291586,1421.1428713506766,2.847234441312531e-37
-154.40313111545987,1421.1373081840302,2.3919157723779434e-36
-153.2289628180039,1421.1317450173833,1.9540055079092888e-35
-152.05479452054794,1421.1261818507367,1.5522623443613114e-34
-150.88062622309198,1421.1206186840902,1.1991297549566109e-33
-149.70645792563602,1421.1150555174436,9.008061273082094e-33
-148.53228962818005,1421.1094923507967,6.580563049703853e-32
-147.35812133072406,1421.1039291841503,4.674809637556499e-31
-146.1839530332681,1421.0983660175036,3.229510154128906e-30
-145.00978473581213,1421.0928028508572,2.169621812005659e-29
-143.83561643835617,1421.0872396842103,1.417454153276215e-28
-142.6614481409002,1421.081676517564,9.005641883040355e-28
-141.4872798434442,1421.0761133509172,5.5642188943892396e-27
-140.31311154598825,1421.0705501842708,3.3433433823781203e-26
-139.13894324853229,1421.064987017624,1.953657929003915e-25
-137.96477495107632,1421.0594238509773,1.1102237607783503e-24
-136.79060665362036,1421.0538606843309,6.135794882527627e-24
-135.6164383561644,1421.0482975176842,3.297869981677121e-23
-134.4422700587084,1421.0427343510373,1.7238634903319986e-22
-133.26810176125244,1421.037171184391,8.763616025588775e-22
-132.09393346379647,1421.0316080177442,4.332909819028713e-21
-130.9197651663405,1421.0260448510978,2.0835156233259546e-20
-129.74559686888455,1421.020481684451,9.744058930238985e-20
-128.57142857142858,1421.0149185178045,4.432151358882725e-19
-127.39726027397259,1421.0093553511579,1.960769859035389e-18
-126.22309197651663,1421.0037921845114,8.436885658387035e-18
-125.04892367906066,1420.9982290178646,3.530918573244955e-17
-123.8747553816047,1420.992665851218,1.437308898100206e-16
-122.70058708414874,1420.9871026845715,5.69084401020131e-16
-121.52641878669277,1420.9815395179248,2.1916698170137114e-15
-120.35225048923678,1420.975976351278,8.210198316246987e-15
-119.17808219178082,1420.9704131846315,2.991720073685956e-14
-118.00391389432485,1420.9648500179849,1.0604405297518685e-13
-116.82974559686889,1420.9592868513384,3.656449721279586e-13
-115.65557729941293,1420.9537236846916,1.2264542285702895e-12
